id,region,price,year,manufacturer,model,condition,fuel,transmission,drive;
7306198330,auburn,6800,2005.0,,blue bird bus,excellent,diesel,automatic,rwd;
7306178510,auburn,36590,2019.0,volvo,s60 t6 r-design sedan 4d,good,gas,other,;
7306147932,auburn,35990,2019.0,volvo,s60 t6 r-design sedan 4d,good,other,other,;
7306095627,auburn,33590,2019.0,volvo,s60 t6 r-design sedan 4d,good,gas,other,;
7305672709,auburn,0,2018.0,chevrolet,express cargo van,like new,gas,automatic,rwd;
7305672266,auburn,0,2019.0,chevrolet,express cargo van,like new,gas,automatic,rwd;
7305672252,auburn,0,2018.0,chevrolet,express cargo van,like new,gas,automatic,rwd;
7305666455,auburn,38990,2020.0,infiniti,qx60 luxe sport utility,good,gas,other,fwd;
7305631654,auburn,33990,2018.0,alfa-romeo,romeo stelvio ti sport suv,good,gas,other,;
7305631581,auburn,27990,2017.0,lincoln,continental select sedan,good,gas,automatic,;
7305578496,auburn,28590,2018.0,audi,q5 premium sport utility 4d,good,gas,other,;
7305186870,auburn,18590,2018.0,hyundai,sonata sel sedan 4d,good,gas,other,fwd;
7305150035,auburn,29990,2018.0,audi,a6 2.0t premium plus sedan,good,other,automatic,;
7305150004,auburn,14990,2016.0,,Scion iM Hatchback 4D,good,gas,other,fwd;
7305149985,auburn,39990,2020.0,acura,mdx sh-awd sport utility,good,gas,other,;
7305082143,auburn,2500,1966.0,,1966 C-30 1 ton,good,gas,manual,rwd;
7304785580,auburn,4000,2006.0,jeep,grand cherokee laredo,good,gas,automatic,rwd;
7304685581,auburn,32990,2019.0,jeep,wrangler sport suv 2d,good,other,other,4wd;
7304685502,auburn,27590,2012.0,jeep,wrangler unlimited sport,good,gas,other,4wd;
7304646033,auburn,18590,2017.0,toyota,camry le sedan 4d,good,gas,other,fwd;
7304645998,auburn,33590,2017.0,ram,1500 crew cab laramie pickup,good,other,other,;
7304184221,auburn,40990,2017.0,jeep,wrangler unlimited rubicon,good,other,other,4wd;
7304158673,auburn,33590,2017.0,jeep,wrangler unlimited sport,good,gas,other,4wd;
7304134738,auburn,31590,2017.0,jeep,wrangler unlimited sport,good,gas,other,4wd;
7304111898,auburn,30990,2017.0,jeep,wrangler unlimited sport,good,gas,other,4wd;
7303661415,auburn,14590,2012.0,bmw,1 series 128i coupe 2d,good,other,other,;
7303661350,auburn,20590,2018.0,chrysler,300 limited sedan 4d,good,gas,other,rwd;
7303606749,auburn,19990,2020.0,mitsubishi,outlander sport es,good,other,other,;
7303606702,auburn,10990,2013.0,nissan,sentra s sedan 4d,good,gas,other,fwd;
7303236380,auburn,26990,2018.0,gmc,acadia sle-2 sport utility,good,gas,other,fwd;
7303130875,auburn,36590,2020.0,gmc,acadia denali sport utility,good,gas,other,;
7303065930,auburn,30990,2020.0,gmc,acadia slt sport utility 4d,good,gas,other,;
7303065864,auburn,24590,2018.0,lincoln,mkz select sedan 4d,good,gas,automatic,fwd;
7302642422,auburn,8990,2013.0,,smart fortwo Passion Hatchback,good,gas,automatic,rwd;
7302597055,auburn,23990,2015.0,lexus,nx 200t sport utility 4d,good,other,other,;
7302537601,auburn,25590,2020.0,buick,encore gx select sport,good,gas,automatic,fwd;
7302537532,auburn,52990,2020.0,jaguar,e-pace p300 r-dynamic se,good,gas,other,;
7302327214,auburn,19000,2017.0,subaru,forester,like new,gas,automatic,;
7302286548,auburn,28000,2018.0,acura,tlx,excellent,gas,automatic,fwd;
7302108846,auburn,17590,2015.0,volvo,s60 t5 premier sedan 4d,good,gas,automatic,;
7302062793,auburn,36590,2020.0,volvo,s60 t6 r-design sedan 4d,good,gas,other,;
7302043460,auburn,35990,2020.0,volvo,s60 t6 inscription sedan,good,other,other,;
7302000016,auburn,38590,2019.0,volvo,s60 t8 r-design sedan 4d,good,gas,automatic,;
7301673626,auburn,29590,2018.0,lincoln,continental select sedan,good,other,automatic,;
7301673609,auburn,32590,2018.0,alfa-romeo,romeo stelvio sport suv 4d,good,other,other,;
7301647209,auburn,27590,2018.0,infiniti,qx60 3.5 sport utility,good,gas,automatic,;
7301624602,auburn,38990,2020.0,audi,q5 45 tfsi premium plus,good,gas,other,;
7316878036,birmingham,21950,2012.0,toyota,tacoma 4x4,excellent,gas,manual,4wd;
7316874816,birmingham,13950,2011.0,toyota,tacoma,good,gas,automatic,rwd;
7316873897,birmingham,5900,2001.0,,F-350,,diesel,automatic,rwd;
7316872263,birmingham,12950,2005.0,bmw,z4,excellent,gas,automatic,rwd;
7316871664,birmingham,18950,2010.0,ford,f150 lariat supercrew 4x4,good,gas,automatic,4wd;
7316871204,birmingham,6995,2011.0,volkswagen,jetta sel,excellent,gas,automatic,fwd;
7316870942,birmingham,12500,2008.0,ford,ranger xlt,excellent,gas,automatic,rwd;
7316870516,birmingham,16950,2007.0,toyota,tacoma double cab,good,gas,automatic,rwd;
7316870143,birmingham,22950,2014.0,ford,f150 supercrew cab xlt,excellent,gas,automatic,4wd;
7316869910,birmingham,12950,2011.0,honda,crv ex,excellent,gas,automatic,fwd;
7316869708,birmingham,12950,2007.0,mazda,mx-5 miata touring,excellent,gas,automatic,rwd;
7316869215,birmingham,13950,2011.0,mazda,mx-5 miata grand touring,excellent,gas,automatic,rwd;
7316868894,birmingham,19950,2009.0,porsche,boxster,excellent,gas,automatic,rwd;
7316868562,birmingham,13950,2008.0,mazda,miata,excellent,gas,manual,rwd;
7316868220,birmingham,10950,2009.0,lexus,rx350,excellent,gas,automatic,4wd;
7316867506,birmingham,13950,2006.0,lexus,gx470,good,gas,automatic,4wd;
7316853268,birmingham,1800,1998.0,toyota,rav4,good,gas,manual,;
7316852517,birmingham,21250,2002.0,ford,thunderbird,new,gas,automatic,fwd;
7316846605,birmingham,4500,2008.0,ford,mustang,,gas,automatic,rwd;
7316788498,birmingham,39590,2020.0,chevrolet,silverado 1500 crew,good,gas,other,;
7316788533,birmingham,26990,2017.0,nissan,titan single cab sv,good,gas,other,4wd;
7316762099,birmingham,4299,2007.0,nissan,sentra,,gas,automatic,fwd;
7316755272,birmingham,0,2015.0,nissan,sentra,excellent,gas,automatic,fwd;
7316735728,birmingham,3950,2008.0,kia,spectra ex,excellent,gas,automatic,;
7316734951,birmingham,5900,1998.0,ford,f150,excellent,gas,automatic,;
7316725360,birmingham,33990,,,lac XT5 Crossover,,gas,automatic,fwd;
7316711193,birmingham,34995,2012.0,dodge,charger limousine,,gas,automatic,;
7316707537,birmingham,3200,2005.0,ford,focus,good,gas,automatic,;
7316702941,birmingham,3495,1999.0,ford,windstar,good,gas,automatic,;
7316695553,birmingham,6500,2002.0,ford,sport trac,good,gas,automatic,;
7316694878,birmingham,16988,2008.0,toyota,fj cruiser,,gas,automatic,4wd;
7316694884,birmingham,16988,2018.0,nissan,altima,,gas,automatic,fwd;
7316694885,birmingham,26990,2018.0,nissan,frontier,,gas,automatic,rwd;
7316694874,birmingham,32186,2021.0,toyota,tacoma,,gas,automatic,rwd;
7316691449,birmingham,16477,2015.0,buick,enclave,,gas,automatic,fwd;
7316691442,birmingham,58977,2019.0,gmc,sierra 3500,,gas,automatic,4wd;
7316686116,birmingham,30990,2016.0,chevrolet,silverado 1500 double,good,gas,other,;
7316678016,birmingham,6900,2009.0,honda,ridgeline,fair,gas,automatic,4wd;
7316673788,birmingham,3750,1997.0,ford,f150,,gas,automatic,;
7316644188,birmingham,2500,1976.0,chevrolet,malibu classic,,gas,automatic,;
7316643987,birmingham,3500,2003.0,toyota,camry,good,gas,automatic,;
7316643810,birmingham,1300,1969.0,mercedes-benz,benz,,gas,automatic,;
7316622592,birmingham,25990,2016.0,bmw,5 series,,gas,automatic,;
7316549537,birmingham,8000,2013.0,kia,optima,excellent,gas,automatic,;
7316544266,birmingham,32000,2008.0,chevrolet,silverado 2500,good,diesel,automatic,4wd;
7316535686,birmingham,3399,2006.0,buick,lacrosse,,gas,automatic,fwd;
7316482063,birmingham,4000,2002.0,toyota,echo,excellent,gas,automatic,fwd;
7316478418,birmingham,3900,2009.0,hyundai,elantra,,gas,automatic,rwd;
7316471857,birmingham,3000,2004.0,chevrolet,blazer,good,gas,automatic,4wd;
7316469500,birmingham,2800,2009.0,nissan,versa,,gas,automatic,;
7316429417,birmingham,2500,1995.0,bmw,525i,fair,gas,automatic,rwd;
7316423933,birmingham,53000,2006.0,,Sterling Acterra,,diesel,automatic,;
7316422333,birmingham,33590,2014.0,gmc,sierra 1500 crew cab slt,good,gas,other,;
7316419757,birmingham,12500,2008.0,gmc,yukon xl,excellent,gas,automatic,rwd;
7316411064,birmingham,15990,2017.0,ford,c-max hybrid se wagon 4d,good,hybrid,other,fwd;
7316397515,birmingham,2500,2008.0,honda,accord,good,gas,automatic,fwd;
7316396026,birmingham,20995,2011.0,chevrolet,silverado 1500 ltz crew cab 4wd,,,automatic,4wd;
7316395026,birmingham,25995,2015.0,chevrolet,silverado 1500 lt crew cab 4wd,,,automatic,4wd;
7316393935,birmingham,31995,2014.0,chevrolet,silverado 1500 2lt crew cab long box 4wd,,,automatic,4wd;
7316384231,birmingham,5500,1978.0,ford,f-150,good,gas,automatic,;
7316383863,birmingham,29000,2005.0,ford,f750,,diesel,automatic,;
7316368518,birmingham,27990,2012.0,gmc,sierra 2500 hd extended cab,good,gas,other,4wd;
7316349679,birmingham,24990,2018.0,gmc,canyon extended cab pickup,good,other,other,;
7316337545,birmingham,10990,2011.0,mercedes-benz,ml350,excellent,gas,automatic,4wd;
7316330293,birmingham,3300,1999.0,chrysler,300m,,gas,automatic,fwd;
7316328729,birmingham,27000,1954.0,ford,f100,,gas,manual,;
7316307800,birmingham,27995,2017.0,ford,f-150,,gas,automatic,4wd;
7316282669,birmingham,8100,2011.0,ford,escape,excellent,hybrid,automatic,fwd;
7316262914,birmingham,20000,1979.0,chevrolet,malibu,like new,gas,automatic,rwd;
7316244350,birmingham,3999,2003.0,infiniti,g35 sedan,,gas,automatic,rwd;
7316237340,birmingham,0,2019.0,chevrolet,silverado 1500,excellent,gas,automatic,4wd;
7316229137,birmingham,23500,1970.0,chevrolet,monte carlo,excellent,gas,automatic,;
7316213984,birmingham,5300,2009.0,jeep,grand cherokee laredo,excellent,gas,automatic,4wd;
7316211151,birmingham,0,2014.0,,Freightliner Cascadia,,diesel,automatic,;
7316206718,birmingham,45900,2017.0,,Maserati Levante,,gas,automatic,;
7316198338,birmingham,0,2017.0,chevrolet,silverado 2500hd 4x4,like new,diesel,automatic,4wd;
7316187372,birmingham,5500,1974.0,mercedes-benz,1929 ssk replica,good,gas,automatic,rwd;
7316170760,birmingham,3500,1996.0,chevrolet,tahoe,excellent,gas,automatic,4wd;
7316163074,birmingham,16902,2020.0,toyota,corolla,,gas,automatic,fwd;
7316163069,birmingham,12307,2018.0,kia,soul,,gas,automatic,fwd;
7316163057,birmingham,37500,2018.0,ford,f-150,,gas,automatic,4wd;
7316163025,birmingham,21688,2020.0,nissan,kicks,,gas,automatic,fwd;
7316160104,birmingham,29990,2016.0,chevrolet,colorado extended cab,good,gas,other,4wd;
7316160083,birmingham,35590,2010.0,chevrolet,corvette convertible,good,gas,other,rwd;
7316159423,birmingham,18977,2017.0,kia,sorento,,gas,automatic,fwd;
7316159405,birmingham,6877,2007.0,nissan,pathfinder,,gas,automatic,rwd;
7316156727,birmingham,500,2021.0,,SPECIAL FINANCE PROGRAM 2020,fair,other,other,;
7316142184,birmingham,12500,2015.0,volkswagen,passat tdi,excellent,diesel,automatic,;
7316100915,birmingham,27998,2008.0,porsche,cayman,,gas,automatic,rwd;
7316080522,birmingham,0,2015.0,mercedes-benz,s-class,,gas,automatic,4wd;
7316065114,birmingham,6800,2004.0,mercedes-benz,clk320,good,gas,automatic,rwd;
7316031977,birmingham,45000,2017.0,chevrolet,silverado,excellent,gas,automatic,4wd;
7316018962,birmingham,2550,2004.0,cadillac,srx,,gas,automatic,rwd;
7316014990,birmingham,12500,2015.0,ford,taurus,like new,gas,automatic,fwd;
7316005652,birmingham,3800,2011.0,nissan,altima,,gas,automatic,;
7315998032,birmingham,2500,1987.0,,1987 Saab 900 Turbo,fair,gas,manual,fwd;
7315970659,birmingham,2975,2006.0,,Suzuki XL-7,,gas,automatic,rwd;
7315958516,birmingham,7980,2013.0,bmw,x3,,gas,manual,rwd;
7315946617,birmingham,7800,2005.0,honda,accord ex-l,excellent,gas,manual,;
7315946365,birmingham,9000,2008.0,mazda,miata mx-5,excellent,gas,automatic,rwd;
7315941653,birmingham,5980,2005.0,cadillac,sts,,gas,automatic,rwd;
7315938243,birmingham,13500,2000.0,chevrolet,corvette,like new,gas,manual,;
7315932100,birmingham,19950,1955.0,chevrolet,bel air,good,gas,automatic,rwd;
7315923364,birmingham,5980,2005.0,acura,tl,,gas,automatic,fwd;
7315914029,birmingham,2675,1996.0,toyota,camry,,gas,automatic,fwd;
7315903985,birmingham,5980,2006.0,nissan,murano,,gas,automatic,fwd;
7315892725,birmingham,34995,2018.0,ram,2500,,diesel,automatic,4wd;
7315883471,birmingham,6980,2011.0,kia,sorento,,gas,other,rwd;
7315873690,birmingham,31990,2017.0,jeep,wrangler sport s utility 2d,good,gas,other,4wd;
7315862871,birmingham,6980,2008.0,toyota,avalon,,gas,automatic,fwd;
7315861135,birmingham,11500,2013.0,honda,odyssey ex,good,gas,automatic,;
7315849335,birmingham,9320,1960.0,chevrolet,,,gas,manual,;
7315847287,birmingham,2600,2000.0,buick,lesabre,,gas,automatic,fwd;
7315842139,birmingham,4980,2007.0,ford,edge,,gas,automatic,4wd;
7315832990,birmingham,26995,2015.0,ford,f-350,,diesel,automatic,4wd;
7315826530,birmingham,27990,2014.0,toyota,tacoma access cab pickup,good,other,other,;
7315826388,birmingham,32990,2017.0,jeep,wrangler unlimited sport,good,gas,other,4wd;
7315822644,birmingham,34995,2018.0,ram,1500,,gas,automatic,rwd;
7315820454,birmingham,5980,2010.0,gmc,terrain,,gas,manual,rwd;
7315819285,birmingham,4500,2014.0,ford,f250 xl,,gas,automatic,;
7315799907,birmingham,5480,2013.0,chevrolet,captiva sport,,gas,automatic,fwd;
7315785227,birmingham,16990,2016.0,kia,forte koup ex coupe 2d,good,gas,other,fwd;
7315785215,birmingham,37590,2019.0,ford,f150 supercrew cab xl,good,gas,other,;
7315780240,birmingham,3975,2010.0,chevrolet,cobalt,,gas,automatic,fwd;
7315780175,birmingham,6480,2008.0,buick,enclave,,gas,automatic,rwd;
7315759709,birmingham,22900,2013.0,dodge,grand caravan,,gas,automatic,fwd;
7315746793,birmingham,24997,2014.0,mercedes-benz,m-class,,gas,automatic,;
7315741039,birmingham,6700,2011.0,nissan,murano,excellent,gas,automatic,;
7315720016,birmingham,26500,2019.0,nissan,rogue sport,,gas,automatic,;
7315720022,birmingham,27988,2020.0,nissan,altima,,gas,automatic,;
7315719969,birmingham,20870,2019.0,infiniti,qx30,,gas,automatic,fwd;
7315719954,birmingham,26988,2018.0,nissan,pathfinder,,gas,automatic,4wd;
7315718861,birmingham,19990,2017.0,subaru,legacy 2.5i premium sedan,good,gas,other,;
7315717381,birmingham,19877,2011.0,ram,2500,,diesel,automatic,;
7315717357,birmingham,11977,2015.0,gmc,terrain,,gas,automatic,fwd;
7315683764,birmingham,29998,2014.0,mercedes-benz,cls,,gas,automatic,rwd;
7315671284,birmingham,0,2018.0,mercedes-benz,e-class,,gas,automatic,rwd;
7315670261,birmingham,12895,1991.0,chevrolet,corvette,,gas,automatic,rwd;
7315607166,birmingham,3650,1999.0,jeep,grand cherokee,,gas,automatic,rwd;
7315603628,birmingham,8500,2006.0,rover,,good,gas,automatic,4wd;
7315582673,birmingham,3299,2003.0,chevrolet,cavalier,,gas,automatic,fwd;
7315552491,birmingham,4499,2005.0,toyota,camry,,gas,automatic,fwd;
7315547296,birmingham,0,2017.0,ford,expedition el,,gas,automatic,rwd;
7315536101,birmingham,5940,2011.0,kia,soul,,gas,manual,rwd;
7315518205,birmingham,3999,2009.0,volvo,s60,,gas,automatic,fwd;
7315518138,birmingham,8980,2011.0,jeep,grand cherokee,,,manual,rwd;
7315506908,birmingham,4950,2001.0,toyota,4runner limited,,gas,automatic,rwd;
7315498556,birmingham,4980,2010.0,chevrolet,traverse,,gas,manual,rwd;
7315477708,birmingham,4400,2006.0,buick,lacrosse,,gas,automatic,fwd;
7315477644,birmingham,8980,2010.0,dodge,charger,,gas,automatic,rwd;
7315472611,birmingham,33590,2014.0,toyota,tundra crewmax sr5 pickup,good,other,other,;
7315472435,birmingham,39590,2020.0,ford,mustang gt premium coupe 2d,good,gas,other,rwd;
7315472446,birmingham,26590,2017.0,honda,pilot lx sport utility 4d,good,gas,other,;
7315467479,birmingham,21990,2018.0,buick,regal sportback preferred,good,gas,other,fwd;
7315467324,birmingham,19990,2017.0,hyundai,sonata plug-in hybrid,good,hybrid,manual,fwd;
7315467192,birmingham,30990,2019.0,ford,ranger supercrew xl pickup,good,other,other,;
7315455723,birmingham,6980,2006.0,nissan,pathfinder,,gas,automatic,rwd;
7315432897,birmingham,4100,2010.0,hyundai,elantra touring,,gas,manual,fwd;
7315432820,birmingham,7980,2015.0,kia,forte,,gas,automatic,fwd;
7315409578,birmingham,9980,2013.0,infiniti,jx35,,gas,automatic,fwd;
7315387122,birmingham,19500,2008.0,ram,3500,good,diesel,manual,4wd;
7315384686,birmingham,2300,1997.0,buick,lesabre,,gas,automatic,fwd;
7315384602,birmingham,10980,2007.0,gmc,yukon xl denali,,gas,automatic,;
7315377651,birmingham,15000,2009.0,toyota,tacoma 4x4,good,gas,automatic,4wd;
7315366606,birmingham,14897,2012.0,jeep,grand cherokee,,gas,other,rwd;
7315366439,birmingham,11400,2013.0,kia,sportage,,gas,other,4wd;
7315359827,birmingham,10980,2012.0,ford,mustang,,gas,manual,rwd;
7315355524,birmingham,3500,1998.0,jeep,cherokee,,gas,automatic,4wd;
7315354216,birmingham,8950,2011.0,ford,f-150,excellent,gas,automatic,fwd;
7315349921,birmingham,4000,1972.0,mercedes-benz,benz,fair,gas,automatic,rwd;
7315345469,birmingham,50000,2019.0,toyota,tundra,like new,gas,automatic,4wd;
7315336062,birmingham,3500,2009.0,hyundai,accent,,gas,automatic,fwd;
7315335997,birmingham,7480,2012.0,chrysler,300,,gas,automatic,rwd;
7315294251,birmingham,1200,2005.0,chevrolet,impala,fair,gas,automatic,fwd;
7315329101,birmingham,8888,2005.0,nissan,altima 3.5 sl,excellent,gas,automatic,fwd;
7315296502,birmingham,26990,2016.0,toyota,tacoma,,gas,automatic,rwd;
7315262722,birmingham,500,2021.0,,SPECIAL FINANCE PROGRAM 2020,fair,other,other,;
7315259946,birmingham,98900,2001.0,ferrari,360 modena,good,gas,automatic,rwd;
7315258127,birmingham,15277,2017.0,mini,cooper,,gas,manual,fwd;
7315258080,birmingham,17977,2012.0,toyota,4runner,,gas,automatic,4wd;
7315253314,birmingham,12250,2007.0,toyota,4runner sport edition,,gas,automatic,;
7315206704,birmingham,35495,,,Series,,gas,automatic,rwd;
7315177514,birmingham,16500,2011.0,ford,f250 super duty,excellent,gas,automatic,4wd;
7315145734,birmingham,5800,2001.0,ford,crown vic,,gas,automatic,;
7315136222,birmingham,3999,2006.0,pontiac,grand prix,,gas,automatic,fwd;
7315125503,birmingham,6000,2011.0,acura,mdx,good,gas,automatic,;
7315110575,birmingham,9400,2008.0,mercedes-benz,benz c350,good,gas,automatic,rwd;
7315109151,birmingham,3850,2003.0,dodge,durango,,gas,automatic,rwd;
7315094967,birmingham,7900,2013.0,nissan,pathfinder,good,gas,automatic,fwd;
7315075822,birmingham,4300,2012.0,kia,soul,,gas,automatic,fwd;
7315037003,birmingham,2800,2006.0,ford,taurus,,gas,automatic,fwd;
